paper_id,ai_category,ai_percentage,description,detailed_signals
A3_3-1,独立撰写(Independent),17.0,论文主要体现人工撰写特征，AI参与度较低,"{'AI重复度': 0.0488, '句式均匀度': 1.0, '段落一致性': 0.6408, '术语集中度': 0.0969}"
A3_3-2,AI辅助(AI-Assisted),45.0,论文存在AI辅助痕迹，但主体为人工完成,"{'AI重复度': 0.0405, '句式均匀度': 1.0, '段落一致性': 1.0, '术语集中度': 0.1458}"
A3_3-3,AI主导(AI-Dominant),72.9,论文可能存在大量AI生成内容，需大幅人工重写,"{'AI重复度': 0.1204, '句式均匀度': 1.0, '段落一致性': 1.0, '术语集中度': 0.2058}"
