paper_id,page_count,chinese_chars,english_words,total_chars,logical_connectors,modeling_terms,references,equations,section_count,sentence_count,avg_sentence_length,std_sentence_length,terminology_richness,chars_per_page,logical_density,formula_density,ref_density,model_term_density,ai_repetition_ratio,ai_burstiness,ai_para_uniformity
A1_01,18,5310,81,8876,105,120,16,23,499,357,23.19047619047619,14.062390752172977,0.7604871447902571,295.0,19.77401129943503,1.2777777777777777,0.8888888888888888,22.598870056497177,0.07011070110701106,0.6051916028660929,0.28546854728169363
A1_02,37,8353,144,11651,157,198,7,8,276,471,23.222929936305732,13.371357063400836,0.8323353293413174,225.75675675675674,18.795642284209265,0.21621621621621623,0.1891891891891892,23.70405842212379,0.002777777777777778,0.5748952570430895,0.3939816448837166
A1_03,18,4610,136,6990,83,190,0,10,119,307,21.289902280130292,12.107444972782345,0.8935251798561151,256.1111111111111,18.004338394793926,0.5555555555555556,0.0,41.21475054229935,0.013761467889908258,0.5621697988648595,0.404441697419361
A1_04,24,6253,458,13349,130,229,1,8,273,482,25.767634854771785,26.340885938013724,0.8598726114649682,260.5416666666667,20.79002079002079,0.3333333333333333,0.041666666666666664,36.62242123780585,0.02981029810298103,1.0210361647662083,1.0247900424023215
A1_05,25,9093,191,15167,155,351,7,66,236,759,18.300395256916996,12.22233154979334,0.9234042553191489,363.72,17.0460794017376,2.64,0.28,38.60112174199934,0.03353057199211045,0.6634817689670927,0.882245117458459
A1_06,53,27497,226,38136,288,279,20,25,367,1819,19.08411214953271,11.239560689217255,0.6670520231213873,518.811320754717,10.473869876713824,0.4716981132075472,0.37735849056603776,10.146561443066517,0.26327769347496205,0.5901484202288603,0.30006047431812144
A1_07,37,10903,459,19739,159,245,28,0,297,774,24.016795865633075,21.022345120958455,0.7960027567195038,294.6756756756757,14.583142254425386,0.0,0.7567567567567568,22.470879574429055,0.029668411867364748,0.8615850085427347,0.8270395381517225
A1_08,84,7274,983,18930,118,152,16,170,487,780,22.833333333333332,13.828173273009565,0.7799586776859504,86.5952380952381,16.222161121803683,2.0238095238095237,0.19047619047619047,20.89634313995051,0.21951219512195122,0.6005813610903199,0.473150533647856
A1_09,25,8845,215,12386,132,238,13,6,212,496,23.455645161290324,12.088969928765875,0.9148936170212766,353.8,14.923685698134538,0.24,0.52,26.907857546636517,0.03299492385786802,0.5076963889865581,0.3139563304128732
A1_10,19,7208,132,9931,116,143,38,20,232,427,21.814988290398126,13.183125975274475,0.9019189765458422,379.36842105263156,16.09322974472808,1.0526315789473684,2.0,19.83906770255272,0.0,0.5901149007043389,0.5750172945846769
A1_11,24,6063,125,9027,41,147,40,23,236,368,23.07336956521739,14.567591619844098,0.8583333333333333,252.625,6.7623288800923635,0.9583333333333334,1.6666666666666667,24.245423057892133,0.007246376811594203,0.6225519960029995,0.5970938796381136
A1_12,14,4195,129,6800,27,64,6,24,266,347,18.288184438040346,11.993656050785418,0.8169838945827232,299.64285714285717,6.4362336114421925,1.7142857142857142,0.42857142857142855,15.256257449344456,0.034334763948497854,0.6475420308080837,0.46660758704373945
